1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
6,4,-1,-1,-1
7,-1,-1,3,-1
8,-1,-1,-1,4
9,-1,17,-1,-1
10,-1,-1,-1,-1
11,-1,-1,-1,19
12,-1,-1,-1,-1
13,-1,-1,-1,-1
14,-1,-1,-1,-1
15,-1,-1,-1,-1
16,-1,-1,-1,-1
17,-1,-1,-1,-1
18,-1,-1,-1,-1
19,17,-1,-1,-1
20,-1,-1,10,-1
21,-1,-1,19,-1
22,-1,-1,-1,-1
23,-1,-1,-1,23
24,-1,-1,-1,-1
25,-1,-1,-1,-1
26,-1,-1,-1,-1
27,-1,-1,-1,-1
28,-1,-1,-1,-1
29,-1,-1,-1,-1
30,-1,-1,-1,-1
31,-1,-1,-1,-1
32,-1,-1,17,-1
33,-1,28,-1,-1
34,-1,-1,-1,-1
35,-1,-1,-1,30
36,-1,-1,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
39,-1,-1,-1,-1
40,-1,-1,-1,-1
41,-1,-1,-1,-1
42,19,17,-1,-1
43,28,-1,-1,-1
44,-1,-1,-1,19
45,-1,-1,30,-1
46,-1,-1,-1,-1
47,-1,-1,-1,34
48,-1,-1,-1,-1
49,-1,-1,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
52,-1,-1,-1,-1
53,-1,-1,-1,-1
54,23,-1,-1,-1
55,-1,-1,-1,-1
56,-1,-1,28,-1
57,-1,-1,-1,-1
58,-1,-1,40,-1
59,-1,-1,-1,-1
60,-1,-1,-1,-1
61,-1,-1,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
64,-1,-1,-1,-1
65,-1,-1,-1,-1
66,30,28,-1,-1
67,-1,-1,-1,-1
68,42,40,-1,30
69,-1,-1,-1,-1
70,-1,-1,-1,42
71,-1,-1,-1,-1
72,-1,-1,-1,-1
73,-1,-1,-1,-1
74,-1,-1,-1,-1
75,-1,-1,-1,-1
76,-1,-1,-1,-1
77,-1,-1,-1,-1
78,34,-1,-1,-1
79,-1,-1,-1,-1
80,46,-1,-1,-1
81,-1,-1,-1,-1
82,-1,-1,-1,-1
83,-1,-1,-1,-1
84,-1,-1,-1,-1
